    height          e         M-        Mx-         M+        Mx+          Q          M        Mac         Mx 
7.9000e+04 5.2970e+06 1.0720e+05 1.8428e+07 7.6960e+04 2.3756e+07 3.1668e+07 4.1140e+20 2.6050e+15 0.0000e+00 
8.0000e+04 7.6660e+06 6.1237e+04 1.1309e+07 1.1825e+05 1.8918e+07 4.1731e+07 3.5280e+20 4.8550e+15 0.0000e+00 
8.1000e+04 1.0500e+07 3.4350e+04 6.1857e+06 1.9142e+05 1.6529e+07 5.7832e+07 3.0200e+20 8.6880e+15 0.0000e+00 
8.2000e+04 1.4830e+07 2.0646e+04 2.9787e+06 3.8963e+05 1.7440e+07 1.0056e+08 2.5790e+20 1.4890e+16 0.0000e+00 
8.3000e+04 2.1040e+07 1.2951e+04 1.2717e+06 9.3303e+05 2.1392e+07 2.0526e+08 2.1970e+20 2.4440e+16 0.0000e+00 
8.4000e+04 2.9320e+07 8.3059e+03 5.1859e+05 2.3162e+06 2.7531e+07 4.3353e+08 1.8670e+20 3.8350e+16 0.0000e+00 
8.5000e+04 4.2930e+07 5.8147e+03 2.1285e+05 6.3180e+06 3.6831e+07 1.0047e+09 1.5820e+20 5.7590e+16 0.0000e+00 
8.6000e+04 5.9920e+07 4.0264e+03 8.9514e+04 1.5084e+07 4.4930e+07 2.0355e+09 1.3360e+20 8.2790e+16 0.0000e+00 
8.7000e+04 8.8960e+07 3.0755e+03 3.8832e+04 3.6737e+07 5.2265e+07 4.2201e+09 1.1250e+20 1.1410e+17 0.0000e+00 
8.8000e+04 1.2370e+08 2.2836e+03 1.7433e+04 7.1824e+07 5.1896e+07 7.0722e+09 9.4540e+19 1.5090e+17 0.0000e+00 
8.9000e+04 1.7510e+08 1.7830e+03 8.0577e+03 1.2892e+08 4.6185e+07 1.1066e+10 7.9200e+19 1.9200e+17 0.0000e+00 
9.0000e+04 2.4890e+08 1.4436e+03 3.8370e+03 2.1164e+08 3.7264e+07 1.6398e+10 6.6200e+19 2.3550e+17 0.0000e+00 
