Angular field frequency / N (m3/s)         0.000    
Gas temperature (K)                        730.0    
Ionization degree                          0.000    
Electron density (1/m3)                   0.1000E+19
Wave number / N (m2)                       0.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Grid type                                  3.000    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    100.0    
Mole fraction O                           0.8240    
Mole fraction N2                          0.1500E-01
Mole fraction O2                           0.000    
Mole fraction Ar                           0.000    
Mole fraction He                          0.1610    


E/N (Td)    	Electric field / N (Td)                                         
0.4000E-01	0.4000E-01
0.4493E-01	0.4493E-01
0.5047E-01	0.5047E-01
0.5670E-01	0.5670E-01
0.6369E-01	0.6369E-01
0.7155E-01	0.7155E-01
0.8037E-01	0.8037E-01
0.9028E-01	0.9028E-01
0.1014	0.1014
0.1139	0.1139
0.1280	0.1280
0.1438	0.1438
0.1615	0.1615
0.1814	0.1814
0.2038	0.2038
0.2289	0.2289
0.2571	0.2571
0.2888	0.2888
0.3245	0.3245
0.3645	0.3645
0.4094	0.4094
0.4599	0.4599
0.5166	0.5166
0.5803	0.5803
0.6519	0.6519
0.7323	0.7323
0.8226	0.8226
0.9241	0.9241
1.038	1.038
1.166	1.166
1.310	1.310
1.471	1.471
1.653	1.653
1.857	1.857
2.086	2.086
2.343	2.343
2.632	2.632
2.956	2.956
3.321	3.321
3.730	3.730
4.190	4.190
4.707	4.707
5.288	5.288
5.940	5.940
6.672	6.672
7.495	7.495
8.420	8.420
9.458	9.458
10.62	10.62
11.93	11.93
13.41	13.41
15.06	15.06
16.92	16.92
19.00	19.00
21.35	21.35
23.98	23.98
26.94	26.94
30.26	30.26
33.99	33.99
38.18	38.18
42.89	42.89
48.18	48.18
54.12	54.12
60.80	60.80
68.29	68.29
76.72	76.72
86.18	86.18
96.81	96.81
108.7	108.7
122.2	122.2
137.2	137.2
154.1	154.1
173.2	173.2
194.5	194.5
218.5	218.5
245.4	245.4
275.7	275.7
309.7	309.7
347.9	347.9
390.8	390.8
439.0	439.0
493.1	493.1
554.0	554.0
622.3	622.3
699.0	699.0
785.2	785.2
882.1	882.1
990.8	990.8
1113.	1113.
1250.	1250.
1404.	1404.
1578.	1578.
1772.	1772.
1991.	1991.
2236.	2236.
2512.	2512.
2822.	2822.
3170.	3170.
3561.	3561.
4000.	4000.


E/N (Td)    	Maximum energy                                                  
0.4000E-01	1.713
0.4493E-01	1.744
0.5047E-01	1.781
0.5670E-01	1.823
0.6369E-01	1.871
0.7155E-01	1.996
0.8037E-01	2.050
0.9028E-01	2.112
0.1014	2.181
0.1139	2.258
0.1280	2.339
0.1438	2.416
0.1615	2.481
0.1814	2.542
0.2038	2.594
0.2289	2.648
0.2571	2.696
0.2888	2.783
0.3245	2.843
0.3645	2.907
0.4094	2.974
0.4599	3.045
0.5166	3.125
0.5803	3.208
0.6519	3.304
0.7323	3.410
0.8226	3.534
0.9241	3.666
1.038	3.878
1.166	4.075
1.310	3.356
1.471	3.628
1.653	3.939
1.857	4.290
2.086	4.674
2.343	5.086
2.632	5.537
2.956	6.037
3.321	6.491
3.730	6.831
4.190	7.388
4.707	7.848
5.288	8.370
5.940	8.968
6.672	9.656
7.495	10.45
8.420	11.37
9.458	12.43
10.62	13.66
11.93	14.99
13.41	16.33
15.06	17.72
16.92	19.19
19.00	20.74
21.35	29.15
23.98	31.51
26.94	34.06
30.26	36.84
33.99	39.85
38.18	43.15
42.89	46.81
48.18	50.71
54.12	55.15
60.80	59.83
68.29	65.18
76.72	70.96
86.18	77.49
96.81	85.07
108.7	96.20
122.2	104.7
137.2	114.0
154.1	99.54
173.2	140.9
194.5	122.1
218.5	137.1
245.4	155.8
275.7	171.0
309.7	246.3
347.9	223.3
390.8	253.2
439.0	290.7
493.1	338.4
554.0	375.3
622.3	445.3
699.0	537.8
785.2	613.6
882.1	766.1
990.8	977.0
1113.	1164.
1250.	1377.
1404.	1742.
1578.	2025.
1772.	2327.
1991.	2843.
2236.	3248.
2512.	3702.
2822.	4458.
3170.	5059.
3561.	5744.
4000.	6494.


E/N (Td)	Mean energy (eV)
0.4000E-01	0.1098
0.4493E-01	0.1152
0.5047E-01	0.1213
0.5670E-01	0.1283
0.6369E-01	0.1362
0.7155E-01	0.1452
0.8037E-01	0.1554
0.9028E-01	0.1669
0.1014	0.1799
0.1139	0.1945
0.1280	0.2110
0.1438	0.2294
0.1615	0.2502
0.1814	0.2736
0.2038	0.2999
0.2289	0.3292
0.2571	0.3619
0.2888	0.3980
0.3245	0.4376
0.3645	0.4803
0.4094	0.5257
0.4599	0.5731
0.5166	0.6215
0.5803	0.6698
0.6519	0.7168
0.7323	0.7617
0.8226	0.8033
0.9241	0.8412
1.038	0.8750
1.166	0.9044
1.310	0.9298
1.471	0.9515
1.653	0.9699
1.857	0.9858
2.086	0.9996
2.343	1.012
2.632	1.024
2.956	1.036
3.321	1.048
3.730	1.061
4.190	1.077
4.707	1.094
5.288	1.115
5.940	1.139
6.672	1.168
7.495	1.202
8.420	1.241
9.458	1.287
10.62	1.341
11.93	1.404
13.41	1.477
15.06	1.561
16.92	1.660
19.00	1.776
21.35	1.913
23.98	2.075
26.94	2.268
30.26	2.500
33.99	2.776
38.18	3.100
42.89	3.470
48.18	3.875
54.12	4.301
60.80	4.735
68.29	5.170
76.72	5.598
86.18	6.020
96.81	6.452
108.7	6.890
122.2	7.344
137.2	7.821
154.1	8.329
173.2	8.874
194.5	9.465
218.5	10.11
245.4	10.82
275.7	11.59
309.7	12.45
347.9	13.41
390.8	14.48
439.0	15.68
493.1	17.03
554.0	18.55
622.3	20.27
699.0	22.22
785.2	24.44
882.1	26.97
990.8	29.86
1113.	33.18
1250.	36.99
1404.	41.44
1578.	46.55
1772.	52.50
1991.	59.49
2236.	67.73
2512.	77.51
2822.	89.22
3170.	103.3
3561.	120.6
4000.	141.9


E/N (Td)	Mobility x N (1/m/V/s)
0.4000E-01	0.1835E+26
0.4493E-01	0.1779E+26
0.5047E-01	0.1720E+26
0.5670E-01	0.1661E+26
0.6369E-01	0.1600E+26
0.7155E-01	0.1539E+26
0.8037E-01	0.1477E+26
0.9028E-01	0.1417E+26
0.1014	0.1356E+26
0.1139	0.1297E+26
0.1280	0.1239E+26
0.1438	0.1182E+26
0.1615	0.1127E+26
0.1814	0.1073E+26
0.2038	0.1020E+26
0.2289	0.9692E+25
0.2571	0.9199E+25
0.2888	0.8722E+25
0.3245	0.8261E+25
0.3645	0.7817E+25
0.4094	0.7391E+25
0.4599	0.6984E+25
0.5166	0.6600E+25
0.5803	0.6240E+25
0.6519	0.5911E+25
0.7323	0.5613E+25
0.8226	0.5347E+25
0.9241	0.5115E+25
1.038	0.4916E+25
1.166	0.4748E+25
1.310	0.4610E+25
1.471	0.4496E+25
1.653	0.4404E+25
1.857	0.4330E+25
2.086	0.4270E+25
2.343	0.4220E+25
2.632	0.4178E+25
2.956	0.4139E+25
3.321	0.4101E+25
3.730	0.4063E+25
4.190	0.4021E+25
4.707	0.3974E+25
5.288	0.3922E+25
5.940	0.3861E+25
6.672	0.3793E+25
7.495	0.3718E+25
8.420	0.3634E+25
9.458	0.3542E+25
10.62	0.3443E+25
11.93	0.3337E+25
13.41	0.3225E+25
15.06	0.3107E+25
16.92	0.2985E+25
19.00	0.2860E+25
21.35	0.2732E+25
23.98	0.2603E+25
26.94	0.2474E+25
30.26	0.2345E+25
33.99	0.2218E+25
38.18	0.2096E+25
42.89	0.1982E+25
48.18	0.1878E+25
54.12	0.1787E+25
60.80	0.1708E+25
68.29	0.1642E+25
76.72	0.1584E+25
86.18	0.1532E+25
96.81	0.1488E+25
108.7	0.1447E+25
122.2	0.1410E+25
137.2	0.1375E+25
154.1	0.1342E+25
173.2	0.1310E+25
194.5	0.1280E+25
218.5	0.1251E+25
245.4	0.1223E+25
275.7	0.1195E+25
309.7	0.1167E+25
347.9	0.1141E+25
390.8	0.1114E+25
439.0	0.1087E+25
493.1	0.1061E+25
554.0	0.1034E+25
622.3	0.1007E+25
699.0	0.9803E+24
785.2	0.9533E+24
882.1	0.9262E+24
990.8	0.8992E+24
1113.	0.8721E+24
1250.	0.8454E+24
1404.	0.8205E+24
1578.	0.7946E+24
1772.	0.7696E+24
1991.	0.7461E+24
2236.	0.7237E+24
2512.	0.7026E+24
2822.	0.6832E+24
3170.	0.6648E+24
3561.	0.6500E+24
4000.	0.6373E+24


E/N (Td)	Diffusion coefficient x N (1/m/s)
0.4000E-01	0.1455E+25
0.4493E-01	0.1491E+25
0.5047E-01	0.1532E+25
0.5670E-01	0.1576E+25
0.6369E-01	0.1625E+25
0.7155E-01	0.1678E+25
0.8037E-01	0.1736E+25
0.9028E-01	0.1799E+25
0.1014	0.1866E+25
0.1139	0.1938E+25
0.1280	0.2016E+25
0.1438	0.2098E+25
0.1615	0.2186E+25
0.1814	0.2280E+25
0.2038	0.2379E+25
0.2289	0.2483E+25
0.2571	0.2592E+25
0.2888	0.2704E+25
0.3245	0.2819E+25
0.3645	0.2935E+25
0.4094	0.3050E+25
0.4599	0.3162E+25
0.5166	0.3268E+25
0.5803	0.3367E+25
0.6519	0.3457E+25
0.7323	0.3538E+25
0.8226	0.3609E+25
0.9241	0.3669E+25
1.038	0.3720E+25
1.166	0.3762E+25
1.310	0.3795E+25
1.471	0.3822E+25
1.653	0.3843E+25
1.857	0.3858E+25
2.086	0.3870E+25
2.343	0.3879E+25
2.632	0.3887E+25
2.956	0.3893E+25
3.321	0.3900E+25
3.730	0.3906E+25
4.190	0.3914E+25
4.707	0.3923E+25
5.288	0.3934E+25
5.940	0.3947E+25
6.672	0.3963E+25
7.495	0.3982E+25
8.420	0.4004E+25
9.458	0.4029E+25
10.62	0.4059E+25
11.93	0.4093E+25
13.41	0.4132E+25
15.06	0.4176E+25
16.92	0.4228E+25
19.00	0.4290E+25
21.35	0.4362E+25
23.98	0.4448E+25
26.94	0.4552E+25
30.26	0.4677E+25
33.99	0.4828E+25
38.18	0.5007E+25
42.89	0.5213E+25
48.18	0.5442E+25
54.12	0.5683E+25
60.80	0.5932E+25
68.29	0.6183E+25
76.72	0.6428E+25
86.18	0.6667E+25
96.81	0.6915E+25
108.7	0.7163E+25
122.2	0.7418E+25
137.2	0.7684E+25
154.1	0.7966E+25
173.2	0.8265E+25
194.5	0.8586E+25
218.5	0.8933E+25
245.4	0.9309E+25
275.7	0.9719E+25
309.7	0.1017E+26
347.9	0.1066E+26
390.8	0.1120E+26
439.0	0.1179E+26
493.1	0.1244E+26
554.0	0.1317E+26
622.3	0.1397E+26
699.0	0.1485E+26
785.2	0.1583E+26
882.1	0.1692E+26
990.8	0.1814E+26
1113.	0.1949E+26
1250.	0.2102E+26
1404.	0.2275E+26
1578.	0.2471E+26
1772.	0.2695E+26
1991.	0.2955E+26
2236.	0.3259E+26
2512.	0.3620E+26
2822.	0.4055E+26
3170.	0.4580E+26
3561.	0.5239E+26
4000.	0.6062E+26


E/N (Td)	Energy mobility x N (1/m/V/s)
0.4000E-01	0.2518E+26
0.4493E-01	0.2461E+26
0.5047E-01	0.2399E+26
0.5670E-01	0.2334E+26
0.6369E-01	0.2265E+26
0.7155E-01	0.2193E+26
0.8037E-01	0.2120E+26
0.9028E-01	0.2044E+26
0.1014	0.1968E+26
0.1139	0.1891E+26
0.1280	0.1814E+26
0.1438	0.1738E+26
0.1615	0.1663E+26
0.1814	0.1588E+26
0.2038	0.1514E+26
0.2289	0.1442E+26
0.2571	0.1371E+26
0.2888	0.1302E+26
0.3245	0.1236E+26
0.3645	0.1171E+26
0.4094	0.1109E+26
0.4599	0.1051E+26
0.5166	0.9960E+25
0.5803	0.9454E+25
0.6519	0.8997E+25
0.7323	0.8589E+25
0.8226	0.8231E+25
0.9241	0.7920E+25
1.038	0.7652E+25
1.166	0.7425E+25
1.310	0.7234E+25
1.471	0.7072E+25
1.653	0.6935E+25
1.857	0.6818E+25
2.086	0.6716E+25
2.343	0.6626E+25
2.632	0.6543E+25
2.956	0.6462E+25
3.321	0.6381E+25
