Angular field frequency / N (m3/s)         0.000    
Gas temperature (K)                        730.0    
Ionization degree                          0.000    
Electron density (1/m3)                   0.1000E+19
Wave number / N (m2)                       0.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Grid type                                  3.000    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    100.0    
Mole fraction O                           0.8870    
Mole fraction N2                          0.6700E-01
Mole fraction O2                          0.2000E-02
Mole fraction Ar                           0.000    
Mole fraction He                          0.4400E-01


E/N (Td)    	Electric field / N (Td)                                         
0.4000E-01	0.4000E-01
0.4493E-01	0.4493E-01
0.5047E-01	0.5047E-01
0.5670E-01	0.5670E-01
0.6369E-01	0.6369E-01
0.7155E-01	0.7155E-01
0.8037E-01	0.8037E-01
0.9028E-01	0.9028E-01
0.1014	0.1014
0.1139	0.1139
0.1280	0.1280
0.1438	0.1438
0.1615	0.1615
0.1814	0.1814
0.2038	0.2038
0.2289	0.2289
0.2571	0.2571
0.2888	0.2888
0.3245	0.3245
0.3645	0.3645
0.4094	0.4094
0.4599	0.4599
0.5166	0.5166
0.5803	0.5803
0.6519	0.6519
0.7323	0.7323
0.8226	0.8226
0.9241	0.9241
1.038	1.038
1.166	1.166
1.310	1.310
1.471	1.471
1.653	1.653
1.857	1.857
2.086	2.086
2.343	2.343
2.632	2.632
2.956	2.956
3.321	3.321
3.730	3.730
4.190	4.190
4.707	4.707
5.288	5.288
5.940	5.940
6.672	6.672
7.495	7.495
8.420	8.420
9.458	9.458
10.62	10.62
11.93	11.93
13.41	13.41
15.06	15.06
16.92	16.92
19.00	19.00
21.35	21.35
23.98	23.98
26.94	26.94
30.26	30.26
33.99	33.99
38.18	38.18
42.89	42.89
48.18	48.18
54.12	54.12
60.80	60.80
68.29	68.29
76.72	76.72
86.18	86.18
96.81	96.81
108.7	108.7
122.2	122.2
137.2	137.2
154.1	154.1
173.2	173.2
194.5	194.5
218.5	218.5
245.4	245.4
275.7	275.7
309.7	309.7
347.9	347.9
390.8	390.8
439.0	439.0
493.1	493.1
554.0	554.0
622.3	622.3
699.0	699.0
785.2	785.2
882.1	882.1
990.8	990.8
1113.	1113.
1250.	1250.
1404.	1404.
1578.	1578.
1772.	1772.
1991.	1991.
2236.	2236.
2512.	2512.
2822.	2822.
3170.	3170.
3561.	3561.
4000.	4000.


E/N (Td)    	Maximum energy                                                  
0.4000E-01	1.346
0.4493E-01	1.399
0.5047E-01	1.458
0.5670E-01	1.522
0.6369E-01	1.587
0.7155E-01	1.663
0.8037E-01	1.744
0.9028E-01	1.844
0.1014	1.939
0.1139	2.010
0.1280	2.138
0.1438	2.209
0.1615	2.324
0.1814	2.391
0.2038	2.454
0.2289	2.494
0.2571	2.616
0.2888	2.623
0.3245	2.705
0.3645	2.694
0.4094	2.656
0.4599	2.726
0.5166	2.791
0.5803	2.759
0.6519	2.811
0.7323	2.869
0.8226	2.932
0.9241	2.996
1.038	3.065
1.166	3.161
1.310	3.263
1.471	3.362
1.653	3.475
1.857	3.706
2.086	3.988
2.343	3.384
2.632	3.812
2.956	4.332
3.321	4.895
3.730	5.505
4.190	6.150
4.707	6.822
5.288	7.555
5.940	8.342
6.672	8.973
7.495	9.640
8.420	10.74
9.458	11.64
10.62	12.66
11.93	13.79
13.41	14.94
15.06	16.15
16.92	17.43
19.00	18.80
21.35	20.26
23.98	21.85
26.94	23.56
30.26	33.06
33.99	35.69
38.18	38.58
42.89	41.74
48.18	45.23
54.12	49.02
60.80	53.23
68.29	57.83
76.72	62.96
86.18	68.50
96.81	74.89
108.7	82.13
122.2	71.75
137.2	101.4
154.1	110.6
173.2	96.67
194.5	105.6
218.5	149.1
245.4	169.0
275.7	147.3
309.7	169.0
347.9	187.0
390.8	271.7
439.0	307.0
493.1	351.0
554.0	312.8
622.3	367.4
699.0	435.7
785.2	524.6
882.1	597.7
990.8	743.6
1113.	868.8
1250.	1123.
1404.	1331.
1578.	1683.
1772.	1961.
1991.	2258.
2236.	2761.
2512.	3155.
2822.	3597.
3170.	4087.
3561.	4919.
4000.	5582.


E/N (Td)	Mean energy (eV)
0.4000E-01	0.7722E-01
0.4493E-01	0.8402E-01
0.5047E-01	0.9162E-01
0.5670E-01	0.1000
0.6369E-01	0.1093
0.7155E-01	0.1194
0.8037E-01	0.1305
0.9028E-01	0.1425
0.1014	0.1555
0.1139	0.1697
0.1280	0.1851
0.1438	0.2021
0.1615	0.2210
0.1814	0.2420
0.2038	0.2655
0.2289	0.2921
0.2571	0.3218
0.2888	0.3554
0.3245	0.3920
0.3645	0.4322
0.4094	0.4747
0.4599	0.5192
0.5166	0.5640
0.5803	0.6086
0.6519	0.6522
0.7323	0.6942
0.8226	0.7340
0.9241	0.7714
1.038	0.8061
1.166	0.8384
1.310	0.8677
1.471	0.8942
1.653	0.9181
1.857	0.9395
2.086	0.9585
2.343	0.9754
2.632	0.9904
2.956	1.004
3.321	1.016
3.730	1.027
4.190	1.038
4.707	1.048
5.288	1.059
5.940	1.070
6.672	1.083
7.495	1.098
8.420	1.115
9.458	1.136
10.62	1.163
11.93	1.196
13.41	1.238
15.06	1.291
16.92	1.358
19.00	1.443
21.35	1.550
23.98	1.684
26.94	1.850
30.26	2.053
33.99	2.301
38.18	2.593
42.89	2.932
48.18	3.308
54.12	3.716
60.80	4.138
68.29	4.568
76.72	4.993
86.18	5.421
96.81	5.841
108.7	6.267
122.2	6.699
137.2	7.150
154.1	7.622
173.2	8.126
194.5	8.666
218.5	9.252
245.4	9.890
275.7	10.59
309.7	11.36
347.9	12.21
390.8	13.16
439.0	14.22
493.1	15.40
554.0	16.73
622.3	18.22
699.0	19.91
785.2	21.84
882.1	24.00
990.8	26.48
1113.	29.32
1250.	32.58
1404.	36.32
1578.	40.63
1772.	45.63
1991.	51.45
2236.	58.27
2512.	66.29
2822.	75.82
3170.	87.23
3561.	101.0
4000.	117.9


E/N (Td)	Mobility x N (1/m/V/s)
0.4000E-01	0.2367E+26
0.4493E-01	0.2240E+26
0.5047E-01	0.2117E+26
0.5670E-01	0.1998E+26
0.6369E-01	0.1886E+26
0.7155E-01	0.1780E+26
0.8037E-01	0.1681E+26
0.9028E-01	0.1590E+26
0.1014	0.1504E+26
0.1139	0.1425E+26
0.1280	0.1353E+26
0.1438	0.1284E+26
0.1615	0.1219E+26
0.1814	0.1158E+26
0.2038	0.1100E+26
0.2289	0.1044E+26
0.2571	0.9904E+25
0.2888	0.9380E+25
0.3245	0.8880E+25
0.3645	0.8394E+25
0.4094	0.7930E+25
0.4599	0.7488E+25
0.5166	0.7077E+25
0.5803	0.6694E+25
0.6519	0.6340E+25
0.7323	0.6018E+25
0.8226	0.5724E+25
0.9241	0.5460E+25
1.038	0.5222E+25
1.166	0.5007E+25
1.310	0.4816E+25
1.471	0.4647E+25
1.653	0.4498E+25
1.857	0.4366E+25
2.086	0.4251E+25
2.343	0.4153E+25
2.632	0.4066E+25
2.956	0.3991E+25
3.321	0.3926E+25
3.730	0.3869E+25
4.190	0.3820E+25
4.707	0.3774E+25
5.288	0.3731E+25
5.940	0.3689E+25
6.672	0.3646E+25
7.495	0.3603E+25
8.420	0.3554E+25
9.458	0.3501E+25
10.62	0.3441E+25
11.93	0.3372E+25
13.41	0.3295E+25
15.06	0.3210E+25
16.92	0.3113E+25
19.00	0.3007E+25
21.35	0.2889E+25
23.98	0.2765E+25
26.94	0.2633E+25
30.26	0.2490E+25
33.99	0.2351E+25
38.18	0.2211E+25
42.89	0.2076E+25
48.18	0.1948E+25
54.12	0.1836E+25
60.80	0.1735E+25
68.29	0.1649E+25
76.72	0.1574E+25
86.18	0.1512E+25
96.81	0.1457E+25
108.7	0.1410E+25
122.2	0.1365E+25
137.2	0.1327E+25
154.1	0.1290E+25
173.2	0.1255E+25
194.5	0.1222E+25
218.5	0.1191E+25
245.4	0.1160E+25
275.7	0.1130E+25
309.7	0.1101E+25
347.9	0.1072E+25
390.8	0.1044E+25
439.0	0.1017E+25
493.1	0.9892E+24
554.0	0.9615E+24
622.3	0.9345E+24
699.0	0.9076E+24
785.2	0.8816E+24
882.1	0.8544E+24
990.8	0.8282E+24
1113.	0.8022E+24
1250.	0.7775E+24
1404.	0.7524E+24
1578.	0.7280E+24
1772.	0.7045E+24
1991.	0.6817E+24
2236.	0.6600E+24
2512.	0.6394E+24
2822.	0.6202E+24
3170.	0.6027E+24
3561.	0.5871E+24
4000.	0.5734E+24


E/N (Td)	Diffusion coefficient x N (1/m/s)
0.4000E-01	0.1291E+25
0.4493E-01	0.1349E+25
0.5047E-01	0.1411E+25
0.5670E-01	0.1476E+25
0.6369E-01	0.1544E+25
0.7155E-01	0.1615E+25
0.8037E-01	0.1689E+25
0.9028E-01	0.1764E+25
0.1014	0.1841E+25
0.1139	0.1921E+25
0.1280	0.2003E+25
0.1438	0.2088E+25
0.1615	0.2176E+25
0.1814	0.2268E+25
0.2038	0.2365E+25
0.2289	0.2467E+25
0.2571	0.2573E+25
0.2888	0.2684E+25
0.3245	0.2798E+25
0.3645	0.2913E+25
0.4094	0.3028E+25
0.4599	0.3139E+25
0.5166	0.3242E+25
0.5803	0.3338E+25
0.6519	0.3426E+25
0.7323	0.3504E+25
0.8226	0.3572E+25
0.9241	0.3632E+25
1.038	0.3683E+25
1.166	0.3728E+25
1.310	0.3765E+25
1.471	0.3797E+25
1.653	0.3823E+25
1.857	0.3845E+25
2.086	0.3863E+25
2.343	0.3877E+25
2.632	0.3889E+25
2.956	0.3898E+25
3.321	0.3905E+25
3.730	0.3910E+25
4.190	0.3913E+25
4.707	0.3916E+25
5.288	0.3917E+25
5.940	0.3918E+25
6.672	0.3919E+25
7.495	0.3920E+25
8.420	0.3921E+25
9.458	0.3923E+25
10.62	0.3927E+25
11.93	0.3931E+25
13.41	0.3940E+25
15.06	0.3953E+25
16.92	0.3972E+25
19.00	0.3999E+25
21.35	0.4036E+25
23.98	0.4087E+25
26.94	0.4155E+25
30.26	0.4244E+25
33.99	0.4358E+25
38.18	0.4498E+25
42.89	0.4666E+25
48.18	0.4856E+25
54.12	0.5066E+25
60.80	0.5285E+25
68.29	0.5510E+25
76.72	0.5732E+25
86.18	0.5958E+25
96.81	0.6175E+25
108.7	0.6394E+25
122.2	0.6614E+25
137.2	0.6841E+25
154.1	0.7075E+25
173.2	0.7322E+25
194.5	0.7583E+25
218.5	0.7862E+25
245.4	0.8161E+25
275.7	0.8486E+25
309.7	0.8836E+25
347.9	0.9219E+25
390.8	0.9638E+25
439.0	0.1010E+26
493.1	0.1060E+26
554.0	0.1115E+26
622.3	0.1176E+26
699.0	0.1243E+26
785.2	0.1318E+26
882.1	0.1400E+26
990.8	0.1492E+26
1113.	0.1595E+26
1250.	0.1710E+26
1404.	0.1839E+26
1578.	0.1985E+26
1772.	0.2151E+26
1991.	0.2342E+26
2236.	0.2563E+26
2512.	0.2821E+26
2822.	0.3129E+26
3170.	0.3498E+26
3561.	0.3951E+26
4000.	0.4510E+26


E/N (Td)	Energy mobility x N (1/m/V/s)
0.4000E-01	0.3063E+26
0.4493E-01	0.2934E+26
0.5047E-01	0.2807E+26
0.5670E-01	0.2683E+26
0.6369E-01	0.2564E+26
0.7155E-01	0.2449E+26
0.8037E-01	0.2340E+26
0.9028E-01	0.2235E+26
0.1014	0.2136E+26
0.1139	0.2040E+26
0.1280	0.1950E+26
0.1438	0.1863E+26
0.1615	0.1777E+26
0.1814	0.1695E+26
0.2038	0.1614E+26
0.2289	0.1534E+26
0.2571	0.1457E+26
0.2888	0.1381E+26
0.3245	0.1309E+26
0.3645	0.1239E+26
0.4094	0.1173E+26
0.4599	0.1112E+26
0.5166	0.1056E+26
0.5803	0.1004E+26
0.6519	0.9571E+25
0.7323	0.9145E+25
0.8226	0.8759E+25
0.9241	0.8410E+25
1.038	0.8096E+25
1.166	0.7811E+25
1.310	0.7556E+25
1.471	0.7326E+25
1.653	0.7123E+25
1.857	0.6941E+25
2.086	0.6779E+25
2.343	0.6636E+25
2.632	0.6507E+25
2.956	0.6391E+25
